time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/explained_variance,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/learning_rate
2572288,1256,263,9768,0.004088512036832981,0.2,0.066943359375,-1.9720984116196631,0.6481823921203613,-0.5460776090621948,0.006836459,-0.0227672066539526,-0.006037909013684839,2923.64,12550,-1356.32693425,0.0001
2574336,1257,263,9776,0.014713807235239074,0.2,0.06142578125,-1.968765015900135,0.6475075483322144,0.59055495262146,0.005967072,-0.017528757452964783,-0.007340949802892282,2923.64,12560,-1339.7557855800003,0.0001
2576384,1258,263,9784,0.006303756429406349,0.2,0.086279296875,-1.966786789894104,0.6469008922576904,0.9452051520347595,0.006737859,-0.035098422318696976,-0.008517899882281198,2923.64,12570,-1339.7557855800003,0.0001
2578432,1259,263,9791,0.0022512896426633232,0.2,0.08759765625,-1.9690308809280395,0.6490908861160278,-2.2993686199188232,0.007498732,-0.017860855907201767,-0.007234986667754129,2923.64,12580,-1315.2334750599998,0.0001
2580480,1260,263,9799,0.0407501308596693,0.2,0.0462890625,-1.973098762333393,0.6489502191543579,0.4580830931663513,0.0066005494,-0.024222884327173233,-0.004975110967643559,2923.64,12590,-1388.6188014100003,0.0001
2582528,1261,263,9808,0.023442979890387506,0.2,0.05126953125,-1.9738317772746086,0.6501728296279907,0.9323484897613525,0.005077192,-0.017936937510967255,-0.00638646226725541,2923.64,12600,-1388.6188014100003,0.0001
2584576,1262,263,9815,0.0008344324931385926,0.2,0.10908203125,-1.9778355330228805,0.6512342691421509,0.7819262742996216,0.011201628,-0.03269801288843155,-0.009395877917995676,2923.64,12610,-1387.8897949500001,0.0001
2586624,1263,263,9823,0.03633188784879167,0.2,0.01318359375,-1.9830061241984367,0.6542189717292786,0.7252352833747864,0.003212158,-0.0238337405025959,-0.0034760843380354347,2923.64,12620,-1355.9157270100002,0.0001
2588672,1264,263,9831,0.07623944923980161,0.2,0.023583984375,-1.9879498854279518,0.6533843874931335,-0.18194365501403809,0.0024823206,-0.012052278034389019,-0.0027995221404125913,2923.64,12630,-1435.9322632800001,0.0001
2590720,1265,263,9838,0.029673496913164853,0.2,0.05849609375,-1.98554308116436,0.6532976031303406,0.5191471576690674,0.0073110517,-0.015166123397648335,-0.004146007981034927,2923.64,12640,-1435.9322632800001,0.0001
2592768,1266,263,9846,0.0055733412475092335,0.2,0.074755859375,-1.9868551388382911,0.654208779335022,0.8613191843032837,0.0069700195,-0.03594502806663513,-0.009168974548811094,2923.64,12650,-1403.6726497099999,0.0001
2594816,1267,263,9854,0.009946860672789626,0.2,0.064111328125,-1.985764306783676,0.6518840193748474,0.9151900410652161,0.004323674,-0.02619752287864685,-0.006818453302548733,2923.64,12660,-1407.66627298,0.0001
2596864,1268,263,9861,0.005669583161943592,0.2,0.030908203125,-1.9818819925189017,0.6530664563179016,0.8844903707504272,0.005176411,-0.03806532919406891,-0.008668900764314457,2923.64,12670,-1407.66627298,0.0001
2598912,1269,263,9869,0.0021219393413048236,0.2,0.042822265625,-1.986559945344925,0.6542104482650757,0.9230596423149109,0.004140946,-0.029822396114468575,-0.0035843112564180046,2923.64,12680,-1421.1423875199998,0.0001
2600960,1270,263,9877,0.00392301801184658,0.2,0.04287109375,-1.989130938053131,0.6549749374389648,0.8574563264846802,0.0044357185,-0.02333289012312889,-0.005697377008618787,2923.64,12690,-1430.61404544,0.0001
2603008,1271,263,9885,0.008199358271667734,0.2,0.025830078125,-1.9926889047026635,0.6565155982971191,0.4319307208061218,0.0037721728,-0.025957342237234116,-0.00553493041661568,2923.64,12700,-1430.61404544,0.0001
2605056,1272,263,9893,0.002092670919955708,0.2,0.060498046875,-1.9945542156696319,0.65584397315979,-2.0180625915527344,0.006589831,-0.02854950539767742,-0.0043189191841520366,2923.64,12710,-1430.10344403,0.0001
2607104,1273,263,9901,0.005756500907591544,0.2,0.059228515625,-1.9921289682388306,0.6550772190093994,0.8697249293327332,0.006126642,-0.022498268634080887,-0.006042969654663466,2923.64,12720,-1412.31717747,0.0001
2609152,1274,263,9909,0.006017851736396551,0.2,0.071044921875,-1.9894869178533554,0.6540168523788452,0.8404996395111084,0.008881155,-0.027106409892439842,-0.00731433886103332,2923.64,12730,-1412.31717747,0.0001
2611200,1275,263,9917,0.00161783622825169,0.2,0.0470703125,-1.9846094757318498,0.6516570448875427,0.3378322124481201,0.0065078046,-0.033915892243385315,-0.0071310405561234805,2923.64,12740,-1374.57572613,0.0001
2613248,1276,263,9925,0.003840608046448324,0.2,0.019970703125,-1.9791977286338807,0.6511174440383911,0.9417890906333923,0.003508234,-0.024526260793209076,-0.003091942469472997,2923.64,12750,-1376.78115423,0.0001
2615296,1277,263,9933,0.0051477074681315575,0.2,0.056396484375,-1.9806149050593376,0.6528112888336182,-1.4535560607910156,0.00478603,-0.02650308609008789,-0.005231940263183787,2923.64,12760,-1376.78115423,0.0001
2617344,1278,263,9941,0.0009423315081221517,0.2,0.110400390625,-1.9839498162269593,0.6528119444847107,-1.3760461807250977,0.008232169,-0.025155650451779366,-0.011201691231690347,2923.64,12770,-1380.00340646,0.0001
