#{"t_start": 1755855431.188443, "env_id": "None"}
r,l,t
-434.623242,3000,7373.257341
-36.627148,3000,7384.421162
-3105.487933,3000,7395.662633
-1733.900102,3000,7406.743867
-3440.953282,3000,7418.039182
-575.865516,3000,7429.279258
216.120624,3000,7440.635708
-298.158412,3000,7451.834518
-5011.051192,3000,7462.903655
189.509191,3000,7474.176598
11.001046,3000,7485.365445
-479.153073,3000,7496.765254
-22.686635,3000,7507.95979
-764.448476,3000,7519.289644
242.016432,3000,7530.423973
-24.887604,3000,7541.653678
-1782.565494,3000,7552.787252
-7.356516,59,7553.006269
-771.690312,3000,7564.476473
218.836828,3000,7575.8213
-210.366885,3000,7587.210002
-2945.36868,3000,7598.273671
-4491.152629,3000,7609.857023
-1093.879089,3000,7620.982408
-3836.544223,3000,7632.149698
-259.118255,3000,7643.407501
-265.443121,3000,7654.565136
-2563.569572,3000,7665.822043
-296.402263,3000,7676.878458
-1072.357875,3000,7688.118874
-1415.579502,3000,7699.251273
-192.849644,3000,7710.599221
-2069.849698,3000,7721.654003
-240.099074,3000,7733.189722
-1034.466954,370,7734.574762
-127.150253,3000,7745.6486
-674.213633,3000,7756.761539
-7129.37351,3000,7767.855558
-346.456859,3000,7779.185878
160.992689,3000,7790.366173
9.572843,3000,7801.827669
10.0,1,7801.837853
-1854.012359,3000,7813.091844
-491.046473,3000,7824.265061
-438.880022,3000,7835.503239
9.830018,3000,7846.661572
-1445.737411,3000,7857.885349
-656.078188,3000,7869.025064
-206.411123,3000,7880.349174
-1056.832027,3000,7891.332879
187.942962,3000,7902.682648
-430.642576,225,7903.482788
-2939.950515,3000,7915.108027
-1484.295008,3000,7926.22132
-918.488403,3000,7937.729183
221.330565,3000,7948.972912
-2600.588911,3000,7960.126949
-155.58937,3000,7971.463069
-2733.65835,3000,7982.545444
18.396674,3000,7993.75724
-5696.701862,3000,8004.838831
-23.381358,3000,8016.359709
-2208.2568,3000,8028.739898
-1626.7433,3000,8040.64726
-2078.325447,3000,8051.836504
-2128.352504,3000,8063.018528
-2014.562727,3000,8074.409407
-3893.964719,3000,8085.388294
-2632.225617,3000,8096.704185
10.0,1,8096.717136
0.404578,3000,8107.906522
-618.661396,3000,8119.379986
239.451921,3000,8130.517567
-536.59683,3000,8141.862307
-915.672716,3000,8152.992965
-487.436673,3000,8164.111349
-850.481714,3000,8175.241529
223.669028,3000,8186.490664
-4423.785359,3000,8197.939573
-113.570504,3000,8209.075391
-60.623728,3000,8220.255324
-2341.484391,3000,8231.364744
-402.432831,3000,8242.58936
-47.717392,98,8242.935157
154.1941,3000,8253.934579
-552.819172,3000,8265.190135
-9579.224758,3000,8276.24231
-211.505116,3000,8287.538434
-46.020879,3000,8298.477039
-4041.709411,3000,8309.712993
-91.078598,3000,8320.788909
-709.993725,3000,8331.926974
-3398.943498,3000,8342.882302
-514.171828,3000,8354.234319
-886.329552,3000,8365.397948
-401.595553,3000,8378.369082
-86.990952,3000,8389.690517
-5707.261903,3000,8400.951389
-466.82295,3000,8412.229729
-259.216141,145,8412.765358
-3854.226352,3000,8423.842168
-1213.124817,3000,8435.243767
-1418.535514,3000,8446.268916
-314.846645,3000,8457.370558
-682.401689,3000,8468.276368
225.94111,3000,8479.478591
-624.426493,3000,8490.370492
-748.215062,3000,8501.499397
-5411.399279,3000,8512.412138
-961.622167,3000,8523.5329
-2921.417992,3000,8534.56161
-1776.577013,551,8536.509603
-5270.475466,3000,8547.754571
-3403.594707,3000,8558.739413
-80.966214,3000,8569.8988
-3918.73902,3000,8582.726758
-1786.935938,3000,8594.08699
-7934.308022,3000,8604.977705
38.207918,3000,8616.215174
-5005.049613,3000,8627.273577
-1265.53471,3000,8638.259131
83.80033,3000,8649.380722
-815.307498,3000,8660.507112
-7229.447813,3000,8671.881126
-74.002906,3000,8683.053958
-2225.95733,3000,8694.479791
-2633.865326,3000,8705.510163
